pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
26000,,nse_cm,,NIFTY,NIFTY,,NIFTY,,,,,NIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26009,,nse_cm,,BANKNIFTY,BANKNIFTY,,BANKNIFTY,,,,,BANKNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26037,,nse_cm,,FINNIFTY,FINNIFTY,,FINNIFTY,,,,,FINNIFTY,,,-1,1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
26074,,nse_cm,,MIDCPNIFTY,MIDCPNIFTY,,MIDCPNIFTY,,,,,MIDCPNIFTY,,,-1,-1,-1,-1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,1,1,1,0,0,1,0,-1,0,0,0,
760790,SG,nse_cm,,768AP39,768AP39-SG,,768AP39-SG,IN1020250529,,,,SDL AP 7.68% 2039,,,1,100,-1,-1,2,-1,NSE,,,1454803200,,1454803200,0,0,0,0,0,95.00-105.00,0,0,1456072753,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999960.00,100,0,10500,9500,1,1,1,0,0,1,0,1.2e+08,0,0,999960,
22466,BL,nse_cm,,EPACK,EPACK-BL,,EPACK-BL,INE0G5901015,,,,EPACK DURABLE LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1391040000,,1391040000,0,0,1409529600,1410048000,0,244.18-259.28,0,0,1456077384,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,398578.00,1,0,25928,24418,1,1,1,0,0,1,0,9.62285e+07,0,0,398578,
758906,BL,nse_cm,,AONEGOLD,AONEGOLD-BL,,AONEGOLD-BL,INF1J2R01114,,,,AONEAMC - AONEGOLD,,,1,1,-1,-1,2,-1,NSE,,,1441929600,,1441929600,0,0,0,0,0,13.92-14.78,0,0,1456077390,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,1920164.00,1,0,1478,1392,1,1,1,0,0,1,0,5.87206e+07,0,0,1920164,
24065,N0,nse_cm,,744IRF34,744IRF34-N0,,744IRF34-N0,INE053F08395,,,,IRFC 7.44% 2034 SR.179,,,1,1,-1,-1,2,-1,NSE,,,1403136000,,1403136000,0,0,0,0,0,80000.00-120000.00,0,0,1456072749,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,300000,0,0,999,
21001,EQ,nse_cm,,PSB,PSB-EQ,,PSB,INE608A01012,,,,PUNJAB & SIND BANK,,,1,1,-1,-1,2,-1,NSE,,,978134400,,978134400,0,0,0,0,1438214400,21.83-32.73,0,0,1456081179,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,3661322.00,1,0,3273,2183,1,1,1,0,0,1,0,7.09559e+09,0,0,3661322,
2384,SG,nse_cm,,719SK31,719SK31-SG,,719SK31-SG,IN3020200058,,,,SDL SK 7.19% 2031,,,1,100,-1,-1,2,-1,NSE,,,1298764800,,1298764800,0,0,0,0,0,95.00-105.00,0,0,1456072744,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,327000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+07,0,0,327000,
